kingsnows1759	0.8532777,0.39504713
p226_sig	0.33111987,0.53134304
abeeedr7	0.71038705,0.9574435
blueberryeyes72	0.4058621,0.7786646
patfan198010	0.31137833,0.27700937
_fuckaustin	0.65056294,1.1873704
simplycasey2015	0.38093194,0.7498545
nellyoranje	-0.23925345,0.13455956
bwdreyer	0.45450988,0.19902863
amywmigopteam	0.089343295,0.5209362
wanderlusttedxo	0.024347384,1.1715592
balorsclub	0.91943616,-0.5786158
smilleytweets	1.0729542,-1.8359883
grabuge1er	-0.25098774,0.113051124
flyguyvibes	1.067552,-1.8067627
uthornsrawk	0.0024564632,0.7698571
gypsylovedomino	0.54991984,0.80681825
goodbyetelly	0.091673285,0.8753117
joshcoleed	0.7862088,-0.09191791
stephyischillin	1.1949906,0.14298278
idaliaidaliia	0.81139994,0.68096906
cofucawewara	0.7820623,0.6327783
usmankhhanone	0.42990428,-0.090210095
celtron777	0.35525802,0.3524535
kisslaclass	-0.22966935,0.1619634
irishball87	0.066518985,0.52910817
ohio_free_press	0.37384632,0.29491472
bigdave1878	0.31168026,0.3334569
brookeelindsayy	0.2642426,0.3049138
gordondmackay	0.7378922,0.80341476
jazgalaviz	0.35026598,1.1539608
amentilone	0.17205791,0.84665585
eldiabloblanco9	0.25085256,0.20728545
rnrdelaware	0.061800446,0.7327307
critchlowpaul	0.07282618,0.60110795
basedloller	0.8483506,-0.14820449
aresef	0.094300106,1.2366335
geo45	0.38804144,0.56033206
krazykat8812	0.46534163,0.6912347
drpjr2014	0.45066175,0.6955346
rinavalentina	0.30359042,0.2895753
ozrainmaker	0.48430264,0.55778694
karlajoubert	0.22977363,0.34247243
erinhellyeah	1.2720213,0.19752711
fulfiil	1.0652242,-1.8536389
jbrockm	0.07115327,0.48997116
molareports	0.18580309,0.3352169
artie_rx	0.89091164,0.3654647
citystreetsme	0.8934845,0.5527487
jordanxcix	1.0229603,0.44378746
5t4t1c4g3	1.2682632,-0.10558239
anastaxisa	1.1408798,-1.7927864
hofmeisterseth	0.64091164,0.25340384
pentagonista	0.35737848,1.0987397
nate_ayers22	0.45450985,0.1990286
devodian	1.6136221,1.0128555
wuperkins	0.87554157,0.57168067
jakeputala	0.5475561,0.86185306
sheupe	0.59480995,0.6127878
woridstardaily	1.1785254,-1.8277174
marcobellisai	0.61370134,0.25253916
fabficti0n	1.0271009,0.75943846
just_teejae	1.0122869,-0.2708837
finkleyronald	0.32748392,0.5562891
ramblingmother	0.37835652,0.3183087
lloydement	-0.23925756,0.15552019
bjo_usa	0.5173688,0.8780745
bailey_got_back	0.0516343,0.5283635
flyingright1	-0.17250128,0.882767
maralynburstein	-0.044257563,0.9139444
adofam	0.82262146,0.678763
invitingly	1.1178238,-1.8999556
scorpion_king82	0.78497773,0.67583543
fatscatone	0.34541613,1.2196282
hanadog1945	0.3908723,0.73235404
alali0658	1.2629515,0.39564872
connermynes	0.85384995,0.67929906
goddess7n	0.78167003,0.41886434
wnnat	0.609593,0.12685347
kmgrubbswvu	0.37974787,0.16098216
valefan_eca	0.38077384,0.36259446
kswatchman	0.14106335,0.82450414
cthennebry	0.47151732,0.87211454
mikedk	1.2807238,0.5077786
silverfoxoo7	0.019265546,0.91022724
raybarrett3	0.5264616,0.5187463
ms_adebowale	0.8931335,0.6363132
louisrevan449	0.6311491,0.40337646
fergtards	-0.10364166,0.4959513
purpdapurp	1.0652723,-1.8535217
mchaysrn	0.08518197,0.92914516
imwithglennbeck	0.2348206,0.69924456
_bias	0.47607443,0.38606566
retweet_datshxt	0.059827205,0.08237642
kewlnast	0.577316,0.48038742
countrylife4_me	0.22882585,0.6278273
fox10phoenix	0.32373878,0.47966775
bklynphatman	0.79861325,0.6681609
mom0522010	0.027428562,0.7386777
albamoraroca	1.2410566,0.18224616
whoispeezy	-0.24472803,0.16723566
mcskops	0.8820925,-0.3216722
austinf199	-0.4976974,1.3651325
karentr58210895	0.36879152,0.74638414
elchavaloko	0.9226545,-0.51590276
emersonalvarad0	0.5085897,1.0755687
rosemariejarvi1	0.21688922,0.5412002
karenunitewomen	0.78355926,-0.079748586
lexbrownie_	1.2336589,0.17451291
macrod01	0.5469388,0.53497183
devinftjacob	0.59196055,0.45753297
metaalarbeider	1.4691181,0.41850495
outfrontcnn	0.7885924,0.65720487
th3catpack	0.36669272,0.34730902
okievision	0.3533165,0.6914203
meghan_ad	1.1198674,1.0965786
tavandaleph	0.31815043,0.57706434
its_luxxurious	0.8698953,0.60115695
feldmannatalia	0.59731877,0.612286
falsemadara	1.1226939,-1.884585
jleimer	0.27629408,0.34426838
dreadzonlocc	1.07771,-1.89003
swagstevespeaks	0.8447022,0.4108054
tray24u1	0.029582446,0.52696925
cortneyrwells	0.05603867,0.8093318
icainzos93	0.77744526,0.58076006
jenlibertine	0.0017948039,0.7348817
txchap2012	-0.20277171,0.6201866
brokahontas	0.9339677,-0.60117394
jentafari_	1.3587912,-2.3159773
mbd64	0.87492794,0.53888637
winnie_defined	1.2761248,0.21115491
jankennard	0.19893222,0.50553983
rnrkentucky	0.03512828,0.7548335
deadwingduck	0.16145281,0.07764929
krl49	0.2853343,0.92111695
cjtruba	-0.53980076,1.3392916
abubuha	1.0385216,0.3434339
blueetoo11	0.53653896,0.21045077
jemf5	0.666217,1.187944
ffv122	0.32022494,0.814478
cprokope	0.9062108,0.23064089
yungbasedgokuu	1.166019,-1.8280356
sputnikint	0.4997318,0.31783617
rnrwyoming	0.020646976,0.771607
diane_7a	0.062354147,1.0856516
nmangino7	0.4704037,0.84810865
theamparis	0.5541563,0.89936364
destinbeach22	-0.034231376,0.734047
beanfrompa	0.16275787,0.5230186
trillbilly_	0.99582946,-0.28680092
molonlabe1776us	0.2481722,0.62640125
amandafitz612	0.5633238,0.81208503
sanerovitch	-0.27986735,0.13364688
flyer4life	0.50907576,0.22672755
nozydetacyj	0.7774404,0.5807542
linahalsaafin	1.3150977,0.57034093
stevenplatt	0.3455046,0.5632417
dahnamchandler	0.83481574,0.36030987
iloveuhoes	1.1186365,-1.7778268
girlthatsmalik	1.2164166,0.2098935
abeal61	0.23304139,0.7408089
noposerhere	1.3866699,0.61679906
aishadew	0.89319247,0.6125199
brianfox46	0.57292265,0.8039202
bifffff17	0.89579785,0.59129965
xanthan003	0.2617993,0.33459717
ajwottrich	1.296918,0.41560617
lettyntx	0.41318223,0.88510734
koolkat14215	0.15898415,0.8417473
obtusemusings	0.37835652,0.31830874
ntibbs267	0.054686844,0.51603884
shrewd33	0.20335037,0.66015923
dlf_2012	0.19977178,0.122149855
moaninmary	1.2695961,0.3707636
fayye_faye	1.4691181,0.41850495
davidhldunn	-0.09194648,0.97409505
jahlilnc	0.97829366,0.07715205
bobby9527	0.20830452,0.90215594
stay_lovely929	0.49666905,0.8402717
tonysnow792	1.2246866,1.5634267
vibininthe6	1.0754113,-1.8784227
shmerilzit	0.48744172,0.8721817
strictlybambu	0.5486506,0.20740215
butt_hump	0.8130828,-0.22543637
merovingius01	0.3373789,0.2752939
lnstabae	1.1493759,-1.9077992
nedfox46	0.5844777,0.86140835
1catherinesiena	0.2528266,0.5473087
iluvhippos2	0.3387376,0.5523896
gooodaura	1.0754122,-1.8784223
breaking911	0.3800905,0.585121
lewanyaz123	1.1612585,1.0945027
inominex	0.36416924,0.37632188
islandmob662	1.002509,-0.27585134
northwest__	0.040322125,1.1256522
gaiusca1igu1a	0.3111077,0.3728849
cojusbe_coolnit	0.590595,0.87441623
tessahalloran	0.67947054,1.1837516
jonmay1789	0.51551163,0.843282
heelkinniku	0.93035287,-0.5701886
callisto1947	0.08656723,0.54724526
smoovedero_	1.2340816,1.5966693
victorsharp	0.1344629,0.44836745
boughtataprice7	1.2112079,1.6269835
babbsgirl2	-0.12772942,0.7725761
qymyduwisoqi	0.81385475,0.57450575
n_titties	1.1846187,-1.8881005
rubindon	0.3533522,0.5531435
mclean_deluxe	0.8761558,-0.21965247
eddielajara	0.3503991,0.37314308
dtcahill	0.2809493,0.31768867
eclectelectric	0.50907445,0.2267192
most_wantted	1.2423744,1.5693038
junebug1952	0.3661892,0.6394063
tristonpeterso1	1.5085616,0.5804238
dkauf1043	0.20830747,0.9021598
edwrather	0.08219665,0.5926737
kontatheking	0.7731522,-0.25056162
carriealmom	0.5806742,0.88506776
joanneileen	0.07569941,0.6861063
joanpeiro11	0.59575564,-0.016992394
asahskye	1.2807237,0.50777775
freedomnewsgang	0.33138195,0.34907857
asapbasile98	0.8896561,0.56458205
killingjokez	0.5486468,0.20739706
thatguydmt	0.7908065,-1.1024476
washtimes	0.3734487,0.63282865
cbsbaltimore	0.4142763,0.25387037
irram_b	0.6049583,0.84029245
carsoncoffield	-0.5055207,1.3520788
trilove1	0.87502885,0.684047
justttglo	0.6036434,0.82652116
jacob_2218	0.54060924,0.8160099
watch25s	0.98924583,0.4098358
tn2523tn	0.5556786,0.82590884
soginaaa	0.8964035,0.62443906
eric_magdaleno_	0.33138195,0.34907857
derry300	0.061612494,0.5022399
suskierdick	0.076352715,0.7856163
aushippie	0.09562473,0.8733862
marcborseinvest	0.5513283,0.40872172
mommydean74	0.12499852,0.9121564
ajplus	1.1915569,0.21982577
wellsny0311	-0.33719718,0.76140654
jayhawk96	1.2373879,1.6126266
dollazmack	1.2543736,1.5772027
trillfui	1.1734583,-1.8371739
radical_nova	0.34161085,0.6131447
juiceyamatute	0.9641246,-0.28973714
hajihuntinggirl	0.36349756,0.526127
chillhomiery	1.0680666,-1.8682673
psc96180_pablo	0.61989725,0.47425276
vaughnramdeen	0.83481723,0.36030516
sbve2021	1.2792352,0.18657531
sforeman85	0.44317248,0.20085478
brandiasn	0.36893642,0.8206818
beyannnni	1.2509288,0.20468032
brendeezy1	0.61490816,0.6781365
andrewineffable	1.2792351,0.18657517
tinawumer	0.4109207,0.7737857
shellybean2010	0.026907034,0.46762154
psalm11813	0.114642896,0.56412846
realsammartel	0.84486973,0.41085216
foxwoodellery	0.8985487,0.6020814
yo__mag	1.2413936,0.4495371
anblanx	0.49046865,0.5339105
drakeslilbro	1.103389,-1.8993853
amerasaber_	0.590595,0.8744162
kp2060	0.29842773,0.3128582
gorisujuxym	0.7969595,0.63642794
judianna	0.923011,0.49639738
iibarros1	0.28695324,0.29124978
sans118	0.48478356,0.8303075
duttyaicha	-0.269771,0.14224617
scrowder	0.2633316,0.8057112
chrisgraillot	-0.24472803,0.16723566
sportsfan2333	0.83239543,0.6016313
ferrgaliciousss	0.26404506,0.31812048
acasey1825	0.84396124,0.36861464
veritaz	0.060089085,0.7647825
willie_mays24	0.3103051,0.9092115
trappokemon	1.1691352,-1.7895421
ophiski	0.83669174,0.6845755
loneiyfeels	1.1561986,-1.7856723
whittycommittee	0.8707653,0.53424853
iesha8_	0.8141947,0.6938258
dawnmarie1204	-0.13098623,0.6159346
yaboycurry	1.0555525,-1.8288659
ryan_krietz	0.8495414,0.38085082
4gen234	0.14582959,0.74853736
tyi_buy	0.63311034,0.23946252
threatsolutions	0.34159812,0.5242201
monalitto	0.414315,-0.27156124
kingkuntv	0.52888024,0.8917078
ki11deer	0.32367417,0.86909056
thewferreira0	0.9093179,0.62779796
fredsanford13	0.15813664,0.81278765
joesmithsdk	1.1020324,1.0893956
shesjustjodi	0.29192007,0.32243806
explaintrill	0.9041916,0.57984346
russhackle	0.32369238,0.8690639
buckm00se	0.886171,-0.44069782
rootsinjamaica	0.81139994,0.68096894
saveusrepublic2	0.5465562,0.6109039
iamkiaj	0.017650107,0.53420806
amountainpass	0.13588516,0.9003343
bihiriveroflife	0.15895455,0.84188914
mansasharif	1.1626459,1.0803227
enyonone	-0.36992985,0.75416875
faithgillis1234	0.33414868,0.6233853
livinglegend10	0.96668243,-0.24130076
_myrarennelle	0.13804808,0.878526
baeshift	1.1397865,-1.9157883
thriliuminati	1.0555505,-1.828857
hlllary	1.0381613,0.6442656
cmanduley	0.7847574,0.34765488
finessebryan	1.1040552,0.7984335
tymatulemyq	0.7811218,0.5992511
garcimeyer	0.55629057,0.6043445
themadhessian	0.3201273,0.85526747
kristinnfr	0.25577465,0.38163105
_heartbeatsfast	0.32682896,0.14994045
gbutera09	0.50210696,0.38369283
chip_brent	0.9498198,-0.20668432
efeosae	0.5891364,0.8211475
patscsw	0.030513404,1.142074
truckshorsesdog	0.8209179,0.48976392
elliottstrompho	0.4966471,0.6923042
katttvogt	0.8220499,0.6768856
2bangle	0.36173394,0.6213463
wdtnow	0.21349089,0.41133526
mavisschumacher	0.10458835,0.7464631
vukbz2005	0.5057925,0.25152975
mina_el5aty	1.4881295,0.60381097
natashas428	0.48744717,0.8721825
alisand3	0.01734971,0.6173259
couldbeusoomf	1.1756548,-1.8777964
2old4dramaok	0.37974575,0.16098092
designersorig	0.86628497,0.62798405
mighty_mykens	1.2917169,0.21161503
jetoomes	0.83669543,0.3931886
taniankodia	-0.28054988,0.17118475
w_nta	0.80001366,0.6881563
iiivibes	1.1178262,-1.899953
benzztech	0.7248169,0.60818017
sarahdinahetta	0.21784195,0.47226763
atefehnaeemi	1.051685,0.32500914
mclatterbu	0.017650843,0.5342109
eyonnie_lopez	0.02802694,0.7883252
zulandreainigu5	0.8450404,0.41088444
chrissmith	0.32845473,0.99186003
piayboi	1.1090786,-1.9133072
nunya7575	1.1648585,0.3665006
john_kociuba	0.30358973,0.28957498
legalwatch18	0.5166052,0.8219189
breezlikedat	0.46683598,0.60042036
jmaxwellgirl	0.66529423,0.7018546
thejeancamilo	0.8532603,0.3952105
bmoregangsta	0.8784548,-0.2749477
thejackrue	1.3710479,-2.3657148
fascistlemming	1.2848742,-0.118198544
officialtentboy	0.583091,0.7178261
warren_d_g	1.2517782,1.5639066
eurovinnland	0.25024664,0.25161487
youngjosh21	0.13588518,0.9003343
danegerus	0.06641919,0.8568241
tripppytrevino	1.103572,-1.8742838
nickyb_zero3	0.8433178,0.5309743
equaltreatment	0.01764987,0.53420717
pammovotes	0.4923423,0.5870431
peter24210275	-0.14045314,0.7147942
rosovrboard	-0.53356683,1.3518133
zarleyzalapski1	0.30358574,0.28957346
kriskrbs	-0.28710818,0.1601387
therealrayray27	0.8029331,0.50259745
lambnathan	0.3417782,0.35606292
bpsears	0.27489027,0.2304704
leistunghund	0.1728164,0.846404
ef517_v2	0.021954598,0.62957436
itsahsposts	1.1604397,-1.8427085
dahboo7	0.284046,0.70912045
republicansass	-0.4657373,1.2947673
kennywright7	1.0219679,0.42883834
18pablog	0.3459605,0.26442602
alexis360alexis	0.6318859,0.22426437
pipandbaby	-0.14029956,0.64837205
bartholomeww3	1.1713672,1.6146419
sky0nce	1.2680176,0.17455979
killlapsycho	0.6768641,-0.08817463
h_chadderton	0.4214112,0.7802927
laurencookabc2	0.09327265,1.2162195
pareja7	-0.36306587,0.7818142
cobiewayne93	1.2848741,-0.11819875
taqutilexyvi	0.77880454,0.6483324
mytvonline	1.0092804,0.56027335
_mr_metoo	-0.25099018,0.11307313
backrightup	1.1561949,-1.7856832
nikroybal	0.8363925,0.39844483
hitejustin	1.4693933,0.4324277
bogejihuwef	0.8326161,0.58724123
jjvarela74	0.31636816,0.26402462
thevikchick	1.1908308,0.5456483
mprofant	0.16980946,1.0871562
binggreen	-0.125938,1.0834188
dumuzi1969	0.55598855,0.29500133
same_disease	0.8732012,0.21561876
gyfewumoboq	0.79605377,0.6240366
memoise	0.061612494,0.5022399
kingnikkz	1.2941672,0.4021624
handzofzeus	0.37007853,0.35732484
ulluu_	0.8029331,0.50259745
rnrmississippi	0.14831118,0.7612662
newacademic	0.6237413,0.25706995
mikeheadlyy	1.1493795,-1.9078046
weabusiness	1.1618247,-1.8606365
2495blast	0.10850095,0.60338193
maddiemadebygod	0.08656705,0.5472456
victorian_4life	0.3606188,0.5394518
highimhomer	1.1603972,-1.8778919
kellzskeemtsb	1.2336589,0.17451291
dwinegar1957	0.33737874,0.275294
lovebeachwaves	0.40652916,-0.25736985
dreammotivated	1.1303898,1.0615152
lmstone19	0.012306279,0.8795224
kkf_fabricek	0.12451185,0.4510178
carolynsbuddy	0.35820857,1.0797117
3ha2008	1.4689784,0.6093515
leslielomax1	0.31861323,0.4701889
roket_gal	0.4423785,0.5799378
jwickslaw	1.296918,0.41560617
dirty_smitty	0.12666738,0.16432518
lexiglover_jbe	1.0940156,-1.9103305
theseplaces	1.1635814,-1.9038956
sluggahjells	0.78466946,-1.0427672
jamarcusburlap	-0.14552954,0.69452333
mercer_jaden32	0.55705076,0.85379833
chillasstweets_	0.38575214,-0.25659645
sbrooklyn15	0.44268227,0.70444083
michaelbarger1	0.015498677,0.97999775
suzannewdavis	0.15659305,0.73816454
scotthdewitt	0.9229896,0.4963037
ninonextdoor	1.0555868,-1.8289856
kushtherapy	1.2197216,1.5969261
justswanginn	1.1626459,1.0803227
torontogarlandx	0.26063374,0.3225944
whymyles	0.84484714,0.57682097
ilovegracey333	0.414315,-0.27156124
prisonplanet	0.35252044,0.37354589
rebootliberty	0.008212036,0.74534976
sammysummer13	1.2340816,1.5966693
much_klutch	0.97913796,-0.28962415
lajoliesse	0.15908758,0.6461771
paris75test	0.015555049,0.20949657
paynejosh247	0.618627,0.7695958
youthpastorbry	-0.16988511,0.6332568
_fucklove18	-0.1469549,0.8394619
so_a7md	0.98334324,0.41570333
ikarleezy	1.2417954,1.583046
anubidal	1.1511703,0.40901792
ditygenoqof	0.7926854,0.65245944
stitchcavette	0.094300106,1.2366335
markdice	-0.07006785,0.6709709
elfriedz	0.82351565,0.7301427
1anonofmany	1.2883334,0.38392544
lulabelldesigns	0.53249997,0.8424412
destiny_benton	0.3683563,0.53479385
valuepointorg	-0.395374,0.46744326
polly	0.6288577,0.42275986
housecracka	-0.11981708,0.65524113
kidinbox	0.88642305,0.58046365
kraftywurker	0.02616363,0.22718334
cvmfort	1.0522386,-1.8444842
dailyrapid	0.33297902,0.31757924
vitico46	1.0116266,0.68205655
santirekt20	0.13952371,0.91365373
_jiggajade	1.2755543,0.16124713
mzdiva_divine	0.7773975,0.35842562
adamjennings1	0.50154614,0.87561524
thisisbattle	1.0016631,-0.2745649
starshiptigers	0.061612494,0.5022399
smmegh	0.55416805,0.89936167
oliveonandon	-0.2775122,0.96160054
tacticaltony702	0.38228285,0.6206221
mn_republican	0.24782932,0.90206146
ejayjones3	1.2064368,1.6050247
ziminsky6	0.57292265,0.8039202
theyounghipster	0.37724712,-0.26546493
nostaigically	1.091219,-1.8849039
audiovisol15m	0.98924583,0.4098358
thevikramprasad	0.7802506,0.5533127
coachmarkusd	0.33205682,0.3860392
tpaul15	0.010929262,0.4917715
ricnucjet55	0.16224176,0.7203488
afrolat	0.9921621,0.3663062
dangainor	0.043212213,0.68372685
tezaundakingg	0.8931335,0.6363132
ohthomasss	1.400042,-2.3486626
edgeiord	0.794472,-0.22444543
fiddyshadesofye	1.1991739,-1.8554449
majjackdowning	0.48224735,0.23047762
todosnetwork	0.8634589,0.66606694
bassackwardsusa	0.06003344,0.81545097
cammmiller	0.87499374,0.6839107
foxnews	0.51850945,0.7854566
nylatai	0.328148,0.5698343
cisytimuzagy	0.7891584,0.61953735
bob_owens	-0.019748898,0.906443
lootingdepot	1.2848737,-0.11819941
mrabzman	0.8439615,0.3686109
cloonfad1	0.4433008,0.75537497
gorilla_boy509	1.1404995,1.0736377
illogicai	1.1550593,-1.8187734
blacklegend_	0.56866163,0.21936285
shawnbpierre	0.7442348,0.33356062
bootzliberty	0.50180453,0.21678449
zstonerbabes	1.1281368,-1.9111726
palmaceiahome1	-0.0661809,1.0111579
theingekuhn	0.6882288,0.4354231
stephgwhiteside	1.2859834,0.22520632
poubellefille	0.80188066,-1.1841034
tomdickson	0.059926514,0.90240616
a__butter	0.3459605,0.26442602
armi7119	-0.43772092,0.7950346
muoxollini	1.2543736,1.5772027
tawfiik7	-0.27986872,0.13364707
staceighttweets	0.6140108,0.42514047
dweezy51	0.36568603,-0.2542518
pete_prg	0.48975393,0.22058314
tyeshatalks	0.8828152,0.54525745
igiveyoulaughs	1.1989068,-1.8410274
_iheartball	0.8701738,0.6747213
stonevancamp	0.010929262,0.4917715
moha_jr	-0.28711927,0.16015518
monet1926	0.42988953,0.33227772
_justin57	-0.49403065,1.3390031
mohanaalarefi	0.6036327,0.82651275
royalahmar	0.51671654,0.50968665
alysiastern	0.042113267,0.39389867
zannarodriguez	0.6530556,0.24074818
mazzei48	0.16127577,-0.0591254
abdogman	-0.05848392,0.92773986
specternews	1.4667618,0.7759934
aishakhan099	0.85025644,0.5424144
mahaanwar	0.7652357,0.08252612
mombizzz	1.1918683,1.6079638
captaincool20	0.13619286,0.86554176
eradecator	0.9256754,-0.6037282
yawaridrees	0.83680755,0.39290866
thetrillbaby	0.3239711,1.1681201
ladybtvxo	0.88050956,0.61379683
yungtropicz	1.3702713,-2.3803117
40klip	1.0767109,-1.9020417
srirachabite	0.24783134,0.9020703
k9handler2005	0.03512828,0.7548335
cyrusthagreat	1.1888187,1.5906391
demirmadeni	0.52648824,0.51876044
uniquenewyork	0.4725133,0.16840893
praying4fame	1.1064379,-1.8868458
cro24k	0.9921621,0.3663062
jordann_r35	0.45399058,0.7470813
kendranj4	1.2373879,1.6126266
chadharvey7	0.2733798,0.55282295
debbierose4444	0.029361432,0.7074674
vibenxtdoor	1.0592862,-1.8742523
consciencecit	-0.13161449,0.62975234
dalalopez59	0.24783918,0.90210444
thetomar	0.48224765,0.23047802
cannabiswtf	0.3590946,0.36424637
mdstar08skins	0.41089544,0.77379423
annamenacestar	1.1836478,1.6236078
mattuallight	0.515523,0.84328145
hectoroooo	0.89282465,0.66363114
20committee	0.016764479,0.86031735
mrsportscentre	0.28581154,0.33578792
roddyfromslv	0.836692,0.6845778
kathyfisher10	0.042113263,0.3938986
jerri_wolf	0.0006982582,0.73607266
thejav151	0.46423122,0.94341433
brikbrakbok	-0.2871085,0.16013922
therealpuf	0.9855992,0.08625491
manimac_	0.80763996,0.54824436
dustinjarvis1	1.001661,-0.27456126
newsrevo	1.105199,0.51970446
myself1234567	0.50580573,0.25153416
_africaaa	-0.52614385,1.3340317
iilegaily	1.1064063,-1.8868634
acaciaa	0.4214122,0.78029066
lolitadrugs	0.38721925,-0.25786564
suffictious	1.0527648,-1.8610938
_queenmo	1.1407977,1.1071969
johnmir12	0.8398937,0.3217681
firefighter8597	0.017757934,0.7696669
nigelteapot	0.26181564,0.33465588
mividaloca459	-0.08202439,0.6132687
twirtz22	0.012822538,1.1666439
aronshneezbly98	0.8863947,0.58047503
youngblkrepub	0.23871416,0.616296
deadliestnights	1.190713,-1.8067472
xdoshmei7	0.95782447,0.73818654
iamnatejames	1.0652927,-1.8534719
joanneverbeek	-0.029444499,0.6924873
thenotoriouszan	-0.28455922,0.14612664
kmaleski	0.512205,0.90204585
bikertrash69	0.3504043,0.633929
realtalkgwens	-0.36992985,0.75416875
cbjapan1	0.2859504,0.8416568
rubiconski	0.5790009,0.5136792
nievececilia	0.5388048,0.90288264
_tyler144_	0.31636968,0.26402462
ohtheresanissue	0.06527949,0.46422994
datechguyblog	-0.036704805,0.6416949
sherracane	0.17512909,0.80755675
paulmeyer745	0.32838887,0.8360507
tracyingold	0.53128767,0.8789048
yralexandre	0.8401192,0.74478877
kylietthoughts	1.1628113,-1.8021516
nukugadameqe	0.8304869,0.61192524
showenterprises	0.27511704,0.32903874
mwatkins632	0.3525425,0.7957868
simpsonmart	0.10458852,0.74646336
fierceawakening	1.2143321,1.5769278
ms_gogreen	0.90951973,0.6133896
flubbbs	0.3206198,0.2963762
gypsybill	0.07959263,0.6225527
aliyah_nafees	0.53791326,0.2240842
k1ngr1zzy	0.35958886,0.56988287
ricky_vaughn99	1.0410488,-0.12038405
hunter_lee556	0.43586147,0.57962745
daltonlgilbert	0.11079727,0.0009793708
dejean76	0.5562908,0.60434437
jaydineroo	1.2512031,0.1446234
brendon__miller	0.5249346,0.90434575
chamaica_	1.3702713,-2.3803117
iveyjanette_207	0.7391635,0.36682937
graysonmike	0.3106825,0.27658868
imjthegr8est	0.577316,0.48038742
pacmancannon	0.024347395,1.1715592
yvonne388	0.040548395,0.65585494
dyconetujemi	0.78497845,0.67583746
alfonsosays	1.1933559,0.5297387
hoiycupcakes	0.27317643,0.29247186
esotericcd	-0.1588632,1.0123785
amr033	0.3339224,0.6024935
nikkyschiller	0.99751776,0.43480164
qyryfixycof	0.82694745,0.55559117
froggydeb2005	0.09563926,0.7348569
laughingcorps	-0.14552954,0.69452333
tvamy	0.48009902,0.58407736
gop_sweetheart	-0.5088973,0.7037078
thatbuginger	1.1579463,0.38659427
bambam693504	0.29803488,0.36429447
sniprfire1	-0.05679445,0.5662275
byvinudyqile	0.8448476,0.62082255
tom_luu	0.86363214,0.5658846
pmorris153	0.34317872,0.7773687
gailbrehm	0.03732173,0.4975207
mynameisluluhun	0.8818644,0.6265616
hemihead73	0.14446351,0.4678606
gsloanmdk	0.27317628,0.292472
itweet4niggas	1.0522467,-1.8444769
__rosered	1.2918075,0.4280209
efbrodiesr	-0.529873,0.6730699
indianremi_	1.2251914,0.16769943
carminesabia	0.16241993,0.6601358
jay_kofa	1.1259559,1.120992
vegasnobody	-0.019696238,0.09245887
thepeoplescube	1.4972016,0.4177087
sheiskatika	1.115564,1.0812403
faureciaq	0.017650114,0.53420806
_ieishaaaa	0.8818658,0.62656456
josh_stalnaker	0.506586,0.88656396
michigan_homo	0.8085913,0.36334413
michael_szumega	0.5048613,0.68962806
sweetromance	0.48744678,0.8721825
laspinks	0.310412,0.3049169
pursuitable	1.1730962,-1.850548
patricklpc	1.2841156,0.39382997
trscoop	0.26573217,0.73554474
wolfcoca	-0.02944353,0.6924849
rohanbenstead	0.27317637,0.29247192
zozagiwizaq	0.7737687,0.6236046
zay_joey26	0.8495422,0.3808502
weareeritreans	1.2517781,1.5639062
zombie_mel_	0.4787331,0.88456595
edmariamelao	0.85796875,0.5547194
captyonah	0.24679919,0.81152725
lyssahoney	0.34870043,0.60013855
phish25	0.89282477,0.66362685
bravelad	0.075299814,0.4435233
mhammond1954	0.39449283,0.74381
mdfop34	0.22006239,0.14685327
santoriello	0.83318233,0.5384914
thotnextd0or	1.0850943,-1.8379209
brodybs44	0.58914936,0.8211537
mo_51_m	0.71038705,0.9574435
holmgren85	0.8806231,-0.45312655
qwes_sant	0.99905574,0.4553288
non_socialist	0.33552736,0.3694363
kirstendize	0.0972626,1.2060039
tigermarkllc	1.5979412,1.0313729
karendoe50	0.41116643,0.4517354
mavuliqonaw	0.81751996,0.60956264
shellymoorebb13	1.1068232,0.73712295
owslivestream	0.9947483,0.42158088
osowavyjoffey	0.39083454,0.6319729
tedblake1968ted	0.3574965,0.73553675
joshuaassaraf	0.58111745,0.55798703
2veritasetlux	0.36092943,0.62601006
mchallamlaw	0.6318853,0.22426674
sa6560	1.4707466,0.5989221
sharknado_	0.040322125,1.1256522
thebird0fherme	0.806459,-0.31461275
shaniagoulet	-0.5936933,0.71071553
kybliss	0.2980467,0.6047394
jonwellesley	0.7721696,0.38142785
madnessnut	0.8853475,0.6486332
kongsakulperm	0.5288823,0.89171714
colleenmkane	0.8574217,0.5547229
paulaebbenwbz	0.6831267,0.7289189
skew11	0.37229344,0.63051707
justicebahamas	0.49132845,0.25231862
ryleebeth	-0.5290483,1.3495628
bhanglogic	0.35370657,0.2921941
baxuvohugumi	0.80963564,0.62181497
katomart	0.10585267,0.60362154
skidwillie	0.04537076,0.8475225
nais1998	1.6136221,1.0128555
sgtsatterlee	0.5499207,0.8068173
kaai_	1.1660154,-1.8280383
biancajagger	0.4769571,0.775806
jammiewf	-0.20277171,0.6201866
therightscoop	0.26104894,0.72394204
legendmack62	1.2375064,0.21213563
theangieguerra	0.12210351,0.6582791
whatisee	0.31316444,0.44188732
bethmorrissey23	0.37676805,0.7351816
